answer,question
Echinoderm,"Echinoderms  are a successful phylum of marine animals. They include starfish, brittle stars, sea urchins, sea cucumbers and their relatives."
Halogen,"The halogens are chemical elements under the second-to-right column in the periodic table, also known as Group 17. The elements in the group are fluorine, chlorine, bromine, iodine, astatine, and ununseptium. Halogen literally means ""salt becomer"", but it is often cited to mean ""salt producer"". They are very reactive, so they are likely to join with other elements on the left side of the periodic table to make compounds. This is due to the fact that they are missing one electron. They are rarely found alone in nature, except astatine, which is not found in nature. Fluorine is the most reactive, while iodine is the least reactive. Astatine is very radioactive and hard to get."
Golgi apparatus,"The Golgi complex, also known as the Golgi apparatus or simply the Golgi, is a cytoplasmic organelle. It is found in eukaryote cells, as in animals, plants, and fungi."
Gravity,"Gravity, or gravitation, is one of the fundamental forces of the universe. In this article, we discuss it in three parts:"
Kidney,"Kidneys are two organs in the abdomen of vertebrates that are shaped like beans. They make urine (the yellow waste water that comes out of the urethra.) They are part of the urinary system. When medical professionals discuss the kidneys, they typically refer to the word renal. For example, renal failure is when the kidneys are sick and do not work."
Zinc,"Zinc, sometimes called spelter, is a chemical element. It is a transition metal, a group of metals. It is sometimes considered a post-transition metal. Its symbol on the periodic table is ""Zn"". Zinc is the 30th element on the periodic table, and has an atomic number of 30. Zinc has a mass number of 65.38. It contains 30 protons and 30 electrons. In total, 29 isotopes of zinc are known, and five of these occur in nature. Some isotopes are radioactive. Their half-lives are between 40 milliseconds for 57Zn and 5x1018 years for 70Zn."
Capacitance,Capacitance is the ability of a body to store electric charge. A common device to do such task is a capacitor. The SI unit for capacitance is farad.
Factorial,"n factorial (written n!) is the number we get when we multiply every number from 1 to n. If n is 0, n factorial is 1. n! is not defined for negative numbers.  However, the related gamma function is defined over the real and complex numbers (but the integers it is defined over are positive)."
Tropical cyclone,"A tropical cyclone is a circular air movement over the warm ocean waters in the warm part of Earth near the equator. Most tropical cyclones create strong winds and heavy rains. While some tropical cyclones stay out in the sea, others pass over land. This can be dangerous because they can cause a lot of damage."
Tay-Sachs disease,"Tay-Sachs disease (also called Tray-Sachs syndrome) is a genetically heritable disease which causes problems with the metabolism of fat. Infants usually die of pneumonia or other infections before reaching four years of age. The disease is very rare in the common population, but common in Jewish families. There is no known treatment for this disease, however there is a cheap blood test that helps prevent this disease."
Friction,Friction is a force that acts to stop the movement of two touching things. The energy lost to friction is turned into sound and heat. Two kinds of friction are static and kinetic. Static friction is when the friction is strong enough to stop movement between two objects. Kinetic friction is when the frictional force is not strong enough to stop all motion.
Proton,"A proton is part of an atom. They are found in the nucleus of an atom along with neutrons. The periodic table groups atoms according to how many protons they have. A single atom of hydrogen (the lightest kind of atom) is made up of an electron moving around a proton. Most of the mass of this atom is in the proton, which is almost 2000 times heavier than the electron. Protons and neutrons make up the nucleus of every other kind of atom. In any one element, the number of protons is always the same. An atom's atomic number is equal to the number of protons in that atom."
Electronegativity,"Electronegativity, symbol χ, is a chemical property that says how well an atom can attract electrons towards itself. The electronegativity of an atom is influenced by the atom's atomic number and the distance between the atom's valence electrons (the outermost electrons that take part in chemical bonding) and its nucleus. It was first theorised by Linus Pauling in 1932 as part of his valence bond theory, and is related to other chemical properties. Generally, electronegativity increases from the bottom-left to the upper-right of the periodic table; this is known as a periodic trend."
Coriolis effect,"The Coriolis effect is a force that is found in a rotating object. Gaspard Gustave de Coriolis first described the Coriolis effect in 1835 using mathematics. The Coriolis effect can best be seen in hurricanes. In the northern hemisphere, or part of the earth, they spin clockwise, in the southern hemisphere they spin the other way. This happens because the earth spins on its tilt."
Pi,"Pi or \pi is a mathematical constant, one of the first ever discovered. It is the ratio of the distance around a circle to the circle's diameter. This produces a number, and that number is always the same. However, the number is rather strange. The number starts 3.14159265... and continues without end. Such numbers are called irrational."
Red blood cell,"Red blood cells (also known as RBCs, red blood corpuscles or erythrocytes) are cells in the blood which transport oxygen. Red blood cells are very large in number; in women, there are 4.8 million red blood cells per microliter of blood. In men, there are 5.4 million red blood cells per microliter of blood. Red blood cells are red because they have haemoglobin in them."
Albert Einstein,"Albert Einstein (14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics)."
Avogadro constant,"The Avogadro constant (symbols: L, NA) is the number of particles (usually atoms or molecules) in one mole of a given substance. Its value is equal to . The constant was named after the Italian scientist Amedeo Avogadro."
Quartz,"Quartz is a very common type of mineral. You may hear other names when it has colors or looks different. Agate, Amethyst, Rose quartz are some names for quartz. It is a semi-precious gemstone."
Lake,A lake in the Andes Mountains.jpeg|thumb|right|A lake in the  Andes Mountains
Rene Descartes,"René Descartes (31 March 1596 – 11 February 1650) was a famous French philosopher and physicist. He wrote books that are very important in the fields of maths, physics and especially philosophy. His dualism statement combined soul, mind, body theories, elements into one concept; a dualistic theory of mind and matter."
Electric charge,"Electric charge is a basic property of electrons, protons and other subatomic particles. Electrons are negatively charged while protons are positively charged. Things that are negatively charged and things that are positively charged pull on (attract) each other. This makes electrons and protons stick together to form atoms. Things that have the same charge push each other away (they repel each other). This is called the Law of Charges. It was discovered by Charles Augustin de Coulomb. The law that describes how strongly charges pull and push on each other is called Coulomb's Law."
Collagen,"Collagen is a group of naturally occurring proteins. In nature, it is found exclusively in animals, especially in the flesh and connective tissues of mammals."
Ferromagnetism,"Ferromagnetism is a property of many materials like iron. They are magnets, so they are attracted to, or pulled towards other magnets. In physics there are many different type of magnetism. Ferromagnetism is the strongest one. It is used every day in many technological objects, like television screens and credit cards."
Pulsar,"Pulsars are neutron stars which spin rapidly and produce huge electromagnetic radiation along a narrow beam. Neutron stars are very dense, and have short, regular spins. This produces a very precise interval between pulses that range from roughly milliseconds to seconds for an individual pulsar. The pulse can only be seen if the Earth is close enough to the direction of the beam."
Kinetic energy,"Kinetic energy is the energy that an object has because of its motion. This energy can be converted into gravitational or electric potential energy, which is the energy that an object has because of its position in a gravitational or electric field."
Algae,"Algae (one alga, but several algae) are a type of plant-like living things that can make food from sunlight by photosynthesis. The study of algae is called phycology or algology."
Sorting algorithm,"An algorithm is a step-by-step list of directions that need to be followed to solve a problem. The instructions should be simple enough such that each step can be done without thinking about it. Algorithms are often used to describe how a computer might solve a problem. But there are algorithms in the real world too. A recipe can be considered a type of algorithm. It tells what ingredients are needed to make the dish and what steps to follow. If the recipe tells exactly what to do without too much confusion, then it is an algorithm."
Activation energy,The activation energy of a chemical reaction is the minimum energy that is needed to make the reaction happen. It usually has the symbol Ea and it is measured in kilojoule per mole. It can be thought of as a barrier between the reagents and the products of a reaction. The activation energy is the difference in energy between the transition state and the starting reagents.
X chromosome,The X chromosome is one of the two sex chromosomes in mammals. They decide the sex (gender) of an individual. The other sex chromosome is the Y chromosome.
Supernova,"A supernova is when a very big star explodes. This happens when a star stops making light and heat (hot), so it falls into itself (collapses), and after that explodes. The biggest of these stars we know of are called hypergiants and smaller ones are called supergiants. They are very big, and because of gravity they press on their centers very hard and use up their energy very quickly, so they normally only live for a few million years. After exploding, what is left becomes a black hole or a neutron star. But most stars are small and do not explode.  They become colder and smaller, and they become white dwarf stars."
Doppler effect,"Doppler effect is a change in frequency and wavelength of a wave. It is caused by the change in distance between the thing creating the wave (causer) and whatever is measuring (watcher or observer), seeing or hearing the wave."
Plasma (physics),"Plasma is a form (also called state) of matter. The three other common states of matter are solids, liquids and gases, so plasma is sometimes called the fourth state of matter. Plasma is created by adding energy to a gas so its atoms and molecules separate (called ionization) into negatively charged electrons, and positively charged ions. Unlike the other states of matter, the charged particles in a plasma will react strongly to electric and magnetic fields (i.e. electromagnetic fields). If a plasma loses heat, the ions will re-form into a gas."
Alan Turing,"Alan Mathison Turing OBE FRS (London, 23 June 1912 – Wilmslow, Cheshire, 7 June 1954) was an English mathematician and computer scientist. He was born in Maida Vale, London."
Meiosis,"Meiosis is a special type of cell division. Unlike mitosis, the way normal body cells divide, meiosis results in cells that only have half the usual number of chromosomes, one from each pair. For that reason, meiosis is often called reduction division. In the long run, meiosis increases genetic variation, in a way which will be explained later."
X-ray,"X-radiation is a kind of electromagnetic radiation. X-rays are waves of X-radiation. X-rays have a shorter wavelength, and therefore more energy, than ultraviolet radiation. They have a much shorter wavelength than visible light (the light that we can see). Radiation with shorter wavelengths (more energy) than the X-ray is called Gamma radiation (γ-rays). These are all parts of the electromagnetic spectrum."
Electric current,An electric current is a flow of electric charge. The equation of current is:
Andromeda Galaxy,"The Andromeda Galaxy is the nearest spiral galaxy to the Milky Way, our galaxy. Andromeda is sometimes called M31 or NGC 324 by astronomers. It is about 2.6 million light years away from us."
Reduction (chemistry),Reduction is any chemical reaction that involves the gaining of electrons. It refers to the side that accepts electrons.
Volcano,"A volcano is a mountain where lava (hot, liquid rock) comes from a magma chamber under the ground."
Heat capacity,Heat capacity is a measure of how much materials can store up heat as they change temperature.
Alpha particle,"An alpha particle is made up of two protons and two neutrons. It is a kind of helium. Radioactive elements give out alpha particles when they go through a kind of radioactive decay, known as alpha decay."
Speciation,Speciation is about how species form. It is a major part of evolutionary biology.
Golden ratio,"If a person has one number a and another smaller number b, he can make the ratio of the two numbers by dividing them. Their ratio is a/b. He can make another ratio by adding the two numbers together a+b and dividing this by the larger number a. The new ratio is (a+b)/a. If these two ratios are equal to the same number, then that number is called the golden ratio. The Greek letter \varphi (phi) is usually used as the name for the golden ratio."
Center of mass,Image:CoG stable.svg|thumb|Diagram of an educational toy that balances on a point: the CM (C) settles below its support (P). Any object whose CM is below the fulcrum will not topple.
Matrix (mathematics),"In mathematics, a matrix (plural: matrices) is a rectangular table of cells of numbers, with rows and columns. The rows are each left-to-right (horizontal) lines, and the columns go top-to-bottom (vertical). The top-left cell is at row 1, column 1 (see diagram at right)."
Isaac Newton,{{Infobox_Person 
Euclid,"Euclid of Alexandria  (Greek: ) (about 325 BC–265 BC) was a Greek mathematician who lived in Alexandria, Egypt and worked at the Library of Alexandria. Little is known about this person, but people think he lived there when Ptolemy I was Pharaoh. It is not known where or when he was born."
Uranium,"Uranium is a chemical element (a metal) on the periodic table. It has an atomic number of 92, which means that a uranium atom has 92 protons in its center, which is called a nucleus. Uranium that is  dug out of the ground will be made from three different isotopes: three different types of uranium with different numbers of neutrons in their nuclei.  Most of it is Uranium-238; uranium-235 is less common; uranium-234 is the rarest.  Pitchblende is the main ore that is mined for uranium."
Ideal gas law,"The ideal gas law is the equation of a possible ideal gas, first made by Benoît Paul Émile Clapeyron in 1834."
Xylem,"The Oak (Marshall Ward) Fig 16.jpg|thumb|right|Xylem cells are long and narrow, like pipes, and they carry water"
Resistor,"A resistor limits the electrical current that flows through a circuit. Resistance is the restriction of current. In a resistor the energy of the electrons that pass through the resistor are changed to heat and/or light. For example, in a light bulb there is a resistor made of tungsten which converts the electrons into light."
Mars,"Mars is the fourth planet from the Sun in the Solar System and the second-smallest solid planet. Mars is rocky and cold, with polar ice caps of frozen water and carbon dioxide. It has the largest volcano in the Solar System, and some very large impact craters. Mars is named after the mythological Roman god of war because it is a red planet, the colour of blood."
Memory,"Memory is the personal record of past experiences. It is the brain's ability to store information to use later. It is studied in a special science called ""cognitive psychology"". There are three main types of memory:"
Sirius,"Sirius is the brightest star in the night sky. It is a binary star system in Canis Major, near Orion. It has an apparent magnitude of −1.46. The system is between 200 and  years old. It was originally composed of two bright bluish stars."
Infinity,"Infinity is about things which never end. Sometimes, it is also written \infty. Infinity means many different things, depending on when it is used. The word is from a Latin word, which means ""without end"". Infinity goes on forever, so sometimes space, numbers, and other things are said to be 'infinite', because they never come to a stop."
Entropy,"Entropy is a law of nature in which everything slowly goes into disorder. The entropy of an object is a measure of the amount of information it takes to know the complete state of that object, atom by atom. The entropy is also a measure of the number of possible arrangements the atoms in a system can have. In this sense, entropy is a measure of uncertainty or randomness. The higher the entropy of an object, the more uncertain we are about the states of the atoms making up that object because there are more states to decide from."
Pendulum,"A pendulum is a mass (any object, usually metal) on an arm. The arm is attached to a pivot, which is a point to swing from. The mass will naturally hang down because of gravity, but if it is pushed to one side it will oscillate, which means that it will swing from side to side.  The frequency of the swinging pendulum stays the same."
Eye,"The eye is a round organ for sensing light so animals can see. About 97 percent of animals have eyes.  Image-resolving eyes are present in cnidaria, molluscs, chordates, annelids and arthropods."
PH,pH (potential of hydrogen) is a scale of acidity from 0 to 14. It tells how acidic or alkaline a substance is. 
Chromatography,"Chromatography is a method using mixed substances that depends on the speed at which they move through special media, or chemical substances. It consists of a stationary phase (a solid) and a mobile phase (a liquid or a gas). The mobile phase flows through the stationary phase. Chromatography is much used in biochemistry and analytical chemistry."
Calcium,"Calcium is a chemical element. Its symbol on the periodic table (a list of all the elements) is Ca. Its atomic number is 20. (The atomic number says where Calcium sits in the periodic table.) It has 20 protons and 20 electrons (if is an atom, see ion). The most common isotopes are Ca-40 and Ca-44. Its mass number is about 40.08."
Ozone,{{Chembox
Plate tectonics,Plate tectonics  is a theory of geology. It has been developed to explain large scale motions of the Earth's lithosphere. This theory builds on older ideas of continental drift and seafloor spreading.
Bernoulli's principle,"Bernoulli's principle is a concept of fluid dynamics. It says that when an incompressible fluid moves through different sizes of tube, the fluid's speed changes. This change in velocity is called ""acceleration"". Newton showed that acceleration only occurs through the action of a force. When a force acts over an area, it is called ""pressure"". So any change in a fluid's speed must be matched by a change in pressure (force). Bernoulli saw that while the speed of the flow went up in the larger part of the tube, the pressure went down in the smaller part of tube."
Integral,"In calculus, an integral is the space under a graph of an equation (sometimes said as ""the area under a curve""). An integral is the reverse of a derivative. A derivative is the steepness (or ""slope""), as the rate of change, of a curve. The word ""integral"" can also be used as an adjective meaning ""related to integers""."
Diffusion,Diffusion is the chemical & biological process when molecules from a material move from an area of high concentration (where there are lots of molecules) to an area of low concentration (where there are fewer molecules).
Limestone,"Limestone is a sedimentary rock, made up mostly of the mineral calcite, a form of calcium carbonate, CaCO3."
Insulin,Insulin is a hormone made by the pancreas in the body that controls the glucose level in the blood.
Nuclear fusion,Nuclear fusion is the process of making a single heavy nucleus (part of an atom) from two lighter nuclei. This process is called a nuclear reaction. It releases a large amount of energy. 
Linus Pauling,"Linus Carl Pauling (February 28, 1901 – August 19, 1994) was an American scientist, peace activist, author and educator. He was one of the most important chemists in history."
Fault (geology),"A fault is a fracture, or break, in the Earth's crust (lithosphere). Some faults are active. Here, sections of rock move past each other. This sometimes makes earthquakes."
Velocity,"Velocity is a measure of how fast something has moved in a particular direction.  In physics, velocity means the time it took an object to move from one place to another (displacement), and the direction of movement - this is known as a vector quantity. An object could travel at 7 metres per second in a direction of 30 degress south of east. This is velocity."
Adenosine triphosphate,"Adenosine triphosphate (ATP) is a nucleotide used in cells as a coenzyme. It is often called the ""molecular unit of currency"": ATP transports chemical energy within cells for metabolism."
Benjamin Franklin,"Benjamin Franklin (January 17, 1706 – April 17, 1790) was an American statesman. He has also been known as ""the First American"". He was a very important person in the American Revolution and helped make the Thirteen Colonies one nation. As a leader of the Enlightenment, he influenced European scientists. He even was the first thing many Europeans associated with America at the time. His successful diplomacy in France was an important factor in the United States' victory over Great Britain."
Fractal,"A fractal is any equation or pattern, that when seen as an image, produces a picture, which can be zoomed into infinity and will still produce the same picture. It can be cut into parts which look quite like a smaller version of the set that was started with. The word fractal was made by Benoît Mandelbrot in 1975 from the Latin word fractus, which means ""broken"" or ""fractured"". A simple example is a tree that branches infinitely into smaller branches, and those branches into smaller branches and so on. Fractals are not only beautiful, but also have many practical applications."
Virus,A virus is a tiny parasite which can infect living organisms. It can replicate (copy itself) inside their cells. It is made only of a nucleic acid + a protein coat. Usually the nucleic acid is RNA; sometimes it is DNA.
Refraction,"Refraction is the change in direction of a wave, caused by the change in the wave's speed. Examples of waves include sound waves and light waves. Refraction is seen most often when a wave passes from one medium to a different medium. Different types of medium include air and water."
Photon,"Photons (from Greek φως, meaning light), in many atomic models in physics,  are particles which transmit light. In other words, light is carried over space by photons. Photon is an elementary particle that is its own antiparticle. In quantum mechanics each photon has a characteristic quantum of energy."
Frequency,Frequency is how often an event repeats itself over a set amount of time.
Glacier,"A glacier is a large body of ice and snow. A glacier forms because the snow in an area does not all melt in summer. Each winter, more snow is added. The weight of all the snow creates pressure. This pressure turns the lower parts of the snow into ice. After this happens for many years, the glacier will start growing very large. It becomes so heavy that gravity causes the ice to move. It flows downwards like water but very slowly. A glacier only moves about  per year. New snowfalls replace the parts that flow away. Glaciers are the largest sources of fresh water on Earth. The largest bodies of salt water are the oceans."
Bee,"Bees are flying insects of the Order Hymenoptera, which also includes ants, wasps and sawflies. There are about 20,000 species of bees. Bees collect pollen from flowers. Bees can be found on all continents except Antarctica."
Distillation,"Distillation is a chemical process where a mixture made of two or more liquids (called ""components"") with different boiling points can be separated from each other. The mixture is heated until one of the components boils (turns to a vapor). The vapor is then fed into a condenser, which cools the vapour and changes it back into a liquid that is called distillate'."
Tornado,"A tornado is a tube of violently spinning air that touches the ground. Wind inside the tornado spins fast, but the actual 'circle' of wind around them is huge. This makes tornadoes very dangerous. Tornadoes are especially dangerous to people in cars or mobile homes and about 60people are killed by tornadoes every year."
Electric field,"An electric field is a vector field that shows the direction that a positively charged particle will move when placed in the field. Electric fields are produced around objects that have electrical charge, or by a magnetic field that changes with time. Electric field lines are used to represent the influence of electric field.  The idea of an electric field was first made by Michael Faraday."
Orion (constellation),Orion is one of the largest constellations in the sky. It is supposed to look like the warrior Orion from Greek mythology. The constellation has other names in different cultures: it is mentioned under a Hebrew name in the Book of Job.
Uncertainty principle,"The Uncertainty principle is also called the Heisenberg uncertainty principle. Werner Heisenberg stumbled on a secret of the universe: No thing has a definite position, a definite trajectory, or a definite momentum. Trying to pin a thing down to one definite position will make its momentum less well pinned down, and vice-versa. In everyday life we can successfully measure the position of an automobile at a definite time and then measure its direction and speed (assuming it is coasting along at a steady rate) in the next few moments. That is because the uncertainties in position and velocity are so small that we could not detect them. We assume, quite correctly, that the trajectory of the automobile will not be noticeably changed when we drop a marker on the ground and click a stopwatch at the same time to note the car's position in time and space."
Alzheimer's disease,"Alzheimer's Disease (AD)  is a brain disease that slowly destroys brain cells. As of now, there is no cure for Alzheimer's disease. With time, the different symptoms of  the disease become more marked. Many people die because of Alzheimer's disease. The disease affects different parts of the brain but has its worst effects on the areas of the brain that control memory, language, and thinking skills. Alzheimer's Disease is the most common form of senile dementia accounting for up to 70% of cases."
Gibbs free energy,Gibbs free energy is the available energy in a chemical reaction. It was calculated by Josiah Willard Gibbs.
Isomer,"An isomer in chemistry is a chemical that has the same molecular formula as another, but it has a different arrangement of atoms in space. Different isomers have different chemical properties (that is, they may look, or smell, or taste different from each other)."
Momentum,"Momentum can be considered the ""power"" when an object is moving, meaning how much force it can have on another object.  For example, a bowling ball (large mass) pushed very slowly (low velocity) can hit a glass door and not break it, while a baseball (small mass) can be thrown fast (high velocity) and break the same window.  The baseball has a larger momentum than the bowling ball. Because momentum is the product of the mass and the velocity of an object, that both mass and velocity affect the momentum of an object. As shown, an object with a large mass and low velocity can have the same momentum as an object with a small mass and large velocity. A bullet is another example where the momentum is very-very high, due to the extraordinary velocity. Another beautiful example where very low-velocities cause greater momentum is the push of Indian subcontinent towards the rest of Asia, causing serious damages, such as earth quakes in the portions of himalayas. In this example, the subcontinent is moving as slow as few inches per second but the mass (imagine weight of India) of Indian-subcontinent is very high."
Neuron,A neuron (also known as a neurone or nerve cell) is a cell that carries electrical impulses. Neurons are the basic units of the nervous system and its most important part is the brain.
Mean,"In mathematics and statistics, the mean is another name for the average."
Inner core,"The inner core is the very center of the Earth, and the hottest part of the planet. It is a mainly a solid ball with a radius of about , according to seismological studies. It is believed to consist mostly of an iron–nickel alloy and to be about the same temperature as the surface of the Sun: about 5700 K (5400 °C)."
Nuclear fission,"Nuclear fission is a nuclear process. It is when an atom splits apart into smaller atoms. The process gives off a lot of energy, and is used in nuclear weapons and nuclear reactors. Nuclear fission was discovered in December 1938 by the German nuclear chemist Otto Hahn and his assistant Fritz Strassmann in Berlin."
Gross domestic product,"In economics, the gross domestic product (GDP) is how much a place produces in some amount of time. For nations, the GDP can be calculated by adding up its output inside the borders of that country. To know the GDP of a country, you need to add up consumer spending, investment spending, government spending and the value of the exports and subtract the value of the imports."
Leonhard Euler,"Leonhard Euler (pronounced Oiler) (April 15, 1707 – September 7, 1783) was a Swiss mathematician and physicist. He spent most of his life in Russia and Germany."
Nitrogen,Nitrogen is a nonmetal chemical element. The atmosphere contains more than 78 percent of nitrogen. It has the chemical symbol N and atomic number 7. Its stable inside typically contains 14 nucleons (7 protons and 7 neutrons). It has 5 electrons in its outer shell.
Mass,"The mass of an object is a measure of an object's resistance to acceleration, sometimes also called ""inertia"". A mountain has typically more mass than a rock, for instance. Mass should not be confused with the related but quite different concept of weight. A large mass like the Earth will attract a small mass like a human being with enough force to keep the human being from floating away. ""Mass attraction"" is another word for gravity."
Soil,"Soil (sometimes called dirt) is the combination of rock, mineral fragments (pieces), organic matter (dead and living things), water and air."
Electron,An electron is a very small piece of matter and energy. Its symbol is e−.
Convection,Convection is the movement of a physical quantity (for example heat) because of the movement of the matter.
1 (number),Chinesische.Zahl.Eins.jpg|thumb|Chinese hand sign
Cell nucleus,"A cell nucleus (plural: cell nuclei) is the part of the cell which contains the genetic code, the DNA. The nucleus is small and round, and it works as the cell's control center. It contains chromosomes which house the DNA. The human body contains billions of cells, most of which have a nucleus. All eukaryote organisms have nuclei in their cells, even the many eukaryotes that are single-celled. Bacteria and Archaea, which are prokaryotes, are single-celled organisms of quite a different type and do not have nuclei. Cell nuclei were first found by Antonie van Leeuwenhoek in the 17th century."
Viscosity,"Viscosity is a physical property of fluids. It shows resistance to flow. In a simple example, water has a low viscosity, as it is 'thin'. Syrup or tar, on the other hand has a high viscosity, as it is 'thick'. A way to test for viscosity is the speed at which the substance runs down a slope. Syrup would reach the bottom very slowly, whereas water would be a lot quicker."
Liver,The liver is an organ in the abdomen. It is part of the gastrointestinal system. Sometimes people use hepar- or hepat- as a prefix when they talk about the liver.
Prime number,"A composite number is a natural number of a particular kind. Any natural number is equal to 1 times itself. If the number is equal to any other numbers multiplied, then the number is a composite number. The smallest composite number is 4, because 2 x 2 = 4. 1 is not a composite number. Every other number is a prime number. The prime numbers are the numbers other than 1 which are not equal to m x n (except 1 x itself). The smallest prime number is 2. There is no largest prime number. The next smallest prime numbers are 3, 5, 7, 11, 13, and so on."
Pierre de Fermat,"Pierre de Fermat (17 August 1601 – 12 January 1665) was a French lawyer at the Parlement of Toulouse, southern France, and a mathematician. Many people see him as the father of modern calculus."
Cerebellum,"In all vertebrates, including human beings, the cerebellum is one of the main divisions of the brain."
Ether,Diethyl ether is a clear liquid chemical. It is often just called ether. Ether burns very easily and boils at about 35°C. It has a sweet smell and does not mix with water.
Michelson-Morley experiment,The Michelson-Morley experiment was a scientific experiment to find the presence and properties of a substance called Aether. Aether was believed to fill empty space. The experiment was done by Albert Michelson and Edward Morley in 1887.
Spleen,"The spleen is an organ in vertebrates. In people, it is on the left side of the body, under the heart. The spleen helps fight infections and keep the blood cells healthy."
Neutron,"Neutrons, with protons and electrons, make up an atom. Neutrons and protons are found in the nucleus of an atom. Unlike protons, which have a positive charge, or electrons, which have a negative charge, neutrons have zero charge which means they are  neutral particles. Neutrons bind with protons with the residual strong force."
Fundamental theorem of algebra,"The fundamental theorem of algebra is a proven fact about polynomials, sums of multiples of integer powers of one variable. It is based on mathematical analysis, the study of real numbers and limits. It was first proven by German mathematician Carl Friedrich Gauss. It says that for any polynomial f(x) with the degree n, where n>0, the polynomial equation f(x)=0 must have at least one root x, and not more than n roots altogether."
Stem cell,Stem cells are cells of the body (somatic cells) which can divide and become differentiated.
John Dalton,The first person to discover the atomic theory 
Special relativity,"Special relativity (or the special theory of relativity) is a theory in physics that was developed and explained by Albert Einstein in 1905 because of some weaknesses that had been discovered in older physics. For example, older physics could not explain the fact that the speed of light never changes, even when the observer (the person looking at it) is moving toward the light source, or when the light source is moving toward the observer."
Michael Faraday,"Michael Faraday (Newington Butts, Surrey, 22 September 1791 – Hampton Court, Surrey, 25 August 1867) was an English chemist and physicist. He was a Fellow of the Royal Society, and was awarded the Royal, Copley and Rumford medals of the Society."
Helium,"Helium is a chemical element. It has the chemical symbol He, atomic number 2 and atomic weight of about 4.002602. There are 9 isotopes of helium, only two of which are stable. These are 3He and 4He. 4He is by far the most common isotope."
Johannes Kepler,Johannes Kepler (27 December 1571 – 15 November 1630) was a German astronomer. He was Tycho Brahe's apprentice. Tycho Brahe looked at the way the planets moved in the sky. Johannes Kepler found a simple way to say how the planets move. Kepler also studied other things like Kepler's supernova.
Tsunami,"A tsunami is a series of fast moving waves in the ocean caused by powerful earthquakes or volcanic eruptions. A tsunami has a very long wavelength. It can be hundreds of kilometers long. Usually, a tsunami starts suddenly. The waves travel at a great speed across an ocean with little energy loss. They can remove sand from beaches, destroy trees, toss and drag vehicles, damage houses and even destroy whole towns. Tsunamis can also be caused by meteorite impacts."
Yellow,Yellow is the colour of:
Electrical resistance,"Electrical resistance is the repulsion of a current within a circuit. It explains the relationship between voltage (amount of electrical pressure) and the current (flow of electricity).  With more resistance in a circuit, less electricity will flow through the circuit."
Arthropod,"Arthropods (phylum or superphylum Arthropoda) are a large group of invertebrates, which means they do not have backbones (vertebrae). Insects, spiders, crabs, shrimp, millipedes, and centipedes are all arthropods. Arthropods have jointed feet, a segmented body, and an exoskeleton, a cuticle on the outside of their body."
Sleep,"Sleep is a state of rest, which happens in animals, including humans. Animals that sleep are in an unconscious state, or mostly so. Most of the muscles that animals can control on purpose are inactive. Animals that are asleep do not react to stimuli as fast as those that are awake. They can wake up from sleep more easily than from hibernation or coma. All mammals and birds, and many reptiles, amphibians, and fish, sleep. In humans, other mammals, and most other animals that were studied, sleeping regularly is essential for survival."
Plane (geometry),:Plane can also refer to airplane.
